product_id,Product Name,Batch,Checker,0
22061,Ikan Tongkol Pindang Siap Saji Pouch 250 gram,Split Hub,Aman,
22100,Kerang Kepa Utuh - Astro Basics 500 gram,Split Hub,Aman,
22101,Kerang Dara Utuh Besar Astro Basics 500 gram,Split Hub,Aman,
22102,Kerang Hijau Utuh Besar Astro Basics 500 gram,Split Hub,Aman,
22753,Golden Farm Vegetable Frozen Green Peas 500 gram,Split Hub,Aman,
22891,Cumi Ring - Astro Goods 250 gram,Split Hub,Aman,
22932,Walls Magnum Matcha Crumble 80 ml,Split Hub,Aman,
22958,Anchor Unsalted Butter/Mentega 200gram 200 gram,Split Hub,Aman,
23135,Paha Ayam Bawah Chicken Thigh Astro Basics 450 - 550gram,Split Hub,Aman,
23136,Paha Ayam Boneless (BSL) Astro Farm 450 - 550 gram,Split Hub,Aman,
23137,Paha Ayam Utuh Astro Farm Chicken Thigh 450 - 550gram,Split Hub,Aman,
23366,Kikil Rebus Import Astro Basics 500 gram,Split Hub,Aman,
23434,Anchor Salted Butter/Mentega 200 gram,Split Hub,Aman,
23459,Ikan Cakalang Utuh Astro Basics 400-460gram,Split Hub,Aman,
23535,Chicken Breast Fillet Marinade Original Bitte 120 gram,Split Hub,Aman,
23536,Chicken Thighs Fillet Marinade Sweet Lemon BBQ Bitte 120 gram,Split Hub,Aman,
23538,Chicken Breast Fillet Marinade Italian Bitte/Dada Ayam 120 gram,Split Hub,Aman,
23539,Chicken Thighs Fillet Marinade Red Hot Bitte/Paha Ayam 120 gram,Split Hub,Aman,
23540,Chicken Breast Fillet Marinade Shawarma Bitte/Dada Ayam 120 gram,Split Hub,Aman,
23664,Daging Sengkel Import Astro Goods 500 gram,Split Hub,Aman,
23665,Ikan Tongkol Utuh Astro Basics 450 gram,Split Hub,Aman,
23726,Belfoods Spicy Wings 500 gram,Split Hub,Aman,
23727,Belfoods Royal Cordon Bleu 250 gram,Split Hub,Aman,
23728,Belfoods Royal Crispy Karaage 500 gram,Split Hub,Aman,
23898,Walls Oreo Cookies & Cream Cup Ice Cream - Es Krim Walls 90 ml,Split Hub,Aman,
23923,Ikan Nila Fillet 200gram 200 gram,Split Hub,Aman,
24091,Daging Wagyu Misuji Beef Slice Astro Goods 250 gram,Split Hub,Aman,
24092,Daging Picanha Wagyu Steak MB5 Astro Goods 150 gram,Split Hub,Aman,
24119,Ayam Broiler 10 Potong Astro Basics 1 kg,Split Hub,Aman,
24120,Dada Ayam Boneless (BSB) Astro Farm/Chicken Breast 450 - 550 gram,Split Hub,Aman,
24130,Dada Boneless BLD Ayam Nanas Sreeya  450gram 450 gram,Split Hub,Aman,
24131,Ceker Ayam Bersih Sreeya 450-550gram,Split Hub,Aman,
24421,Udang Vanamei Potong Kepala HL V 21/30 pack Java Sea x Astro Goods 200 gram,Split Hub,Aman,
24422,Udang Vanamei Kupas PUD V 60/70 pack Java Sea x Astro Goods 200 gram,Split Hub,Aman,
24423,Udang Vanamei Giling Halus Premium Java Sea x Astro Goods 200 gram,Split Hub,Aman,
24463,Tasty Fries Crinkle Cut Plain French Fries 900 gram,Split Hub,Aman,
24706,Golden Thorn Durian Musang King 70 gram,Split Hub,Aman,
24764,Kerang Batik - Astro Basics 500 gram,Split Hub,Aman,
24801,Athien Otak - Otak Super 10 pcs,Split Hub,Aman,
24835,Black Salmon Fillet Astro Goods 250 gram,Split Hub,Aman,
24890,Daging Tulang Sop Import Astro Basics 500 gram,Split Hub,Aman,
25019,Ikan Dori Fillet NBL - Astro Goods 250 gram,Split Hub,Aman,
25035,Ayam Broiler Utuh Astro Farm 800gr - 900gr,Split Hub,Aman,
25089,Edo Pizza Base 120 gram,Split Hub,Aman,
25090,Kart's Roti Canai 8pcs 480 gram,Split Hub,Aman,
25157,Ribeye Steak Import Astro Goods 250 gram,Split Hub,Aman,
25304,Belfoods Royal Hongdae Chicken 200 gram,Split Hub,Aman,
25837,Ikan Salmon Giling 100 gram,Split Hub,Aman,
25839,Lidah Sapi Slice Import Astro Basics 250 gram,Split Hub,Aman,
25843,Ampela Ayam Bersih Sreeya Gizzard 450 - 550gram,Split Hub,Aman,
26164,Lean Shabu (Low Fat Prime Beef) Import Astro Goods 250 gram,Split Hub,Aman,
26165,Tenderloin Meltique Has Dalam Import 200 gram,Split Hub,Aman,
26221,Athien Bakso Goreng 220 gram,Split Hub,Aman,
26277,Ikan Bawal Hitam Bersih Astro Basics 500 gram,Split Hub,Aman,
26278,Ikan Kuwe Bersih Astro Basics 500 gram,Split Hub,Aman,
26474,Greenfields Ricotta Cheese 250 gram,Split Hub,Aman,
26478,Edo Mantou Cokelat 320 gram,Split Hub,Aman,
26752,El Primo Beef Cheese Sausages 500 gram,Split Hub,Aman,
26842,Riverland Smoked Arabiki Beef Cheddar Cocktail Sausages 300 gram,Split Hub,Aman,
26846,Riverland Smoked Chicken Cheese Mini Sausages 240 gram,Split Hub,Aman,
26911,Shinshuichi Enachan Shiro Miso Paste/ Pasta Miso Tauco Putih 1 kg,Split Hub,Aman,
27183,Heavenly Blush Greek Honey Yogurt 100 gram,Split Hub,Aman,
27184,Heavenly Blush Greek Original Yogurt 1000 gram,Split Hub,Aman,
27249,Sum Sum Tulang Sapi Import Astro Basics 500 gram,Split Hub,Aman,
28231,Belfoods Royal Beef Frankfurter Sausages 200 gram,Split Hub,Aman,
28233,Belfoods Royal Cheese Frankfurter Sausages 200 gram,Split Hub,Aman,
28334,Ayam Pejantan 6 Parting Astro Farm 700-800gram,Split Hub,Aman,
28339,Kerang Batu Matang Javasea 200 gram,Split Hub,Aman,
28716,Anchor Unsalted Butter/Mentega 100 gram,Split Hub,Aman,
29183,Ikan Bawal Putih Bersih Astro Goods 300-400gram,Split Hub,Aman,
29563,Daging Shabu Japanese Wagyu A5 Astro Goods 200 gram,Split Hub,Aman,
30050,Kiri Cream Cheese 100 gram,Split Hub,Aman,
30243,Walls Paddle Pop Upin Ipin 60 ml,Split Hub,Aman,
30437,Lamb Chop Import  500 gram,Split Hub,Aman,
30504,EDO Pancake Original 165 gram,Split Hub,Aman,
30505,Edo Mini Pau Kacang Merah,Split Hub,Aman,
30508,Belut Tanpa Kepala 300-350gr,Split Hub,Aman,
30522,Daging Sapi Rendang Astro Basics 1000 gram,Split Hub,Aman,
30523,Japanese Wagyu A5 Rosu Sashi 100 gram,Split Hub,Aman,
30561,Ikan Patin Utuh Bersih 500-600gr,Split Hub,Aman,
30562,Ikan Gabus Air Tawar 500-600gr,Split Hub,Aman,
31110,Kulit Ayam Sreeya 500 gram,Split Hub,Aman,
31223,Ikan Gurame Bumbu Kuning 350-400gr,Split Hub,Aman,
31261,Ayam Nanas Chicken Teriyaki 250 gram,Split Hub,Aman,
31262,Ayam Nanas Chicken Katsu 250gram 250 gram,Split Hub,Aman,
31274,Biokul To Go Mango Yogurt 80 gram,Split Hub,Aman,
31275,Biokul To Go Lychee Yogurt 80 gram,Split Hub,Aman,
31276,Biokul To Go Mixberry Yogurt 80 gram,Split Hub,Aman,
31280,Biokul Greek Topping Strawberry Yogurt 100 gram,Split Hub,Aman,
31287,Kin Bulgarian Slimberries Yogurt Drink 200 ml,Split Hub,Aman,
31291,KIN A2 Fresh Milk 1 Liter,Split Hub,Aman,
31464,Cornetto Black & White Ice Cream Walls 80 ml,Split Hub,Aman,
31490,Ikan Bawal Tawar 480-520gr,Split Hub,Aman,
31491,Ikan Ekor Kuning Bersih 250-350gram,Split Hub,Aman,
31527,Udang Laut Kupas Bersih L Java Sea 195-205 gram,Split Hub,Aman,
31535,Bumifood Fish & Chips 200 gram,Split Hub,Aman,
31536,Bumifood Chicken Gyoza 200 gram,Split Hub,Aman,
